Unnamed: 0,GEN_NAME,PMAX,PMIN,RAMP_10,GEN_FUEL,PRIMEMOVER,Energy_Source_1 (Fuel),RAMP_min,SimGEN_PERCidx,StartUpCost,MinDownTime,MinRunTime
28,Astoria GT 4-2,40.0,0.0,40.0,Jet Engine,GT,KER,4.0,233,0.0,2.0,3.0
29,Astoria GT 4-3,44.0,0.0,44.0,Jet Engine,GT,KER,4.4,233,0.0,2.0,3.0
30,Astoria GT 4-4,42.0,0.0,42.0,Jet Engine,GT,KER,4.2,233,0.0,2.0,3.0
31,Athens 1,390.0,271.0,390.0,Combined Cycle,CC,NG,39.0,697,0.0,4.0,6.0
32,Athens 2,378.0,132.0,378.0,Combined Cycle,CC,NG,37.8,680,6994.0,4.0,6.0
33,Athens 3,392.0,269.45,392.0,Combined Cycle,CC,NG,39.2,715,0.0,,
34,Barrett 03,24.0,1.0,24.0,Combustion Turbine,CT,NG,2.4,191,2520.42,2.0,3.0
35,Barrett 04,24.0,1.0,24.0,Combustion Turbine,CT,NG,2.4,191,2520.42,2.0,3.0
36,Barrett 05,22.0,1.0,22.0,Combustion Turbine,CT,NG,2.2,191,2520.42,2.0,3.0
37,Barrett 06,22.0,1.0,22.0,Combustion Turbine,CT,NG,2.2,191,2520.42,2.0,3.0
38,Barrett 08,23.0,1.0,3.5,Combustion Turbine,CT,NG,0.35,190,2633.36,2.0,3.0
39,Barrett 09,41.8,0.0,6.966667,Jet Engine,GT,NG,0.6966667,862,1949.75,3.0,5.0
40,Barrett 10,41.8,0.0,6.966667,Jet Engine,GT,NG,0.6966667,862,1949.75,3.0,5.0
41,Barrett 11,41.8,0.0,6.966667,Jet Engine,GT,NG,0.6966667,862,1949.75,3.0,5.0
42,Barrett 12,41.8,0.0,6.966667,Jet Engine,GT,NG,0.6966667,862,1949.75,3.0,5.0
43,Barrett GT 01,22.0,1.0,3.25,Combustion Turbine,CT,NG,0.325,190,2633.36,2.0,3.0
44,Barrett GT 02,22.0,1.0,3.25,Combustion Turbine,CT,NG,0.325,190,2633.36,2.0,3.0
45,Barrett ST 01,209.0,49.0,22.583333,Steam Turbine,ST,NG,2.2583333,978,19448.0,3.5,5.5
46,Barrett ST 02,201.0,48.0,14.25,Steam Turbine,ST,NG,1.425,978,19448.0,3.5,5.5
47,Batavia,43.0,9.0,4.416667,Combined Cycle,CC,NG,0.4416667,198,19448.0,4.0,6.0
48,Beaver Falls,98.0,1.3,8.083333,Combined Cycle,CC,NG,0.8083332999999999,680,6994.0,4.0,6.0
49,Bethlehem Energy Center,618.0,116.0,60.0,Combined Cycle,CC,NG,6.0,198,19448.0,4.0,6.0
50,Bethpage,61.0,10.0,8.5,Combined Cycle,CC,NG,0.85,198,19448.0,4.0,6.0
51,Bethpage 3,83.0,27.0,8.75,Combined Cycle,CC,NG,0.875,198,19448.0,4.0,6.0
52,Bethpage GT4,49.0,14.0,6.416667,Combustion Turbine,CT,NG,0.6416667,197,0.0,4.0,5.0
53,Binghamton (RET - 1/9/18),47.7,0.0,7.95,Combined Cycle,CC,NG,0.795,680,6994.0,4.0,6.0
54,Bowline 1,621.0,30.55,62.083333,Steam Turbine,ST,NG,6.2083333000000005,211,61627.07,7.0,8.0
55,Bowline 2,593.0,83.4,49.0,Steam Turbine,ST,NG,4.9,978,19448.0,3.5,5.5
56,Brentwood,49.0,15.0,6.583333,Combustion Turbine,CT,NG,0.6583333,197,0.0,4.0,5.0
57,Brooklyn Navy Yard,240.0,101.0,15.916667,Combined Cycle,CC,NG,1.5916667,198,19448.0,4.0,6.0
58,"Burrstone Engy Center, LLC LU",1.1,0.0,0.183333,Internal Combustion,IC,NG,0.0183333,702,0.0,,
